,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Tilichiki,RU,60.4667,166.1,34.97,85,87,4.25,overcast clouds
332,Cockburn Town,TC,21.4612,-71.1419,79.92,74,100,3.6,overcast clouds
333,Abu Dhabi,AE,24.4667,54.3667,86.02,58,0,2.3,clear sky
334,Berwick,US,41.0545,-76.2333,59.31,82,0,4.59,clear sky
335,Lata,PT,40.1629,-8.3327,54.93,73,100,1.92,overcast clouds
336,Marawi,PH,7.9986,124.2928,80.8,72,69,5.39,broken clouds
337,Harlingen,US,26.1906,-97.6961,78.89,92,0,8.05,clear sky
338,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.83,75,27,0.67,scattered clouds
339,Saint-Francois,FR,46.4154,3.9054,56.64,77,0,4.61,clear sky
340,Wanaka,NZ,-44.7,169.15,51.12,76,69,1.01,broken clouds
341,Hermosillo,MX,29.0667,-110.9667,84.69,20,75,8.05,broken clouds
342,Monopoli,IT,40.9559,17.2896,64.72,64,29,2.26,scattered clouds
343,Asau,RO,46.4333,26.4,49.12,70,54,5.21,broken clouds
344,Taksimo,RU,56.3444,114.8794,52.14,49,100,11.21,light rain
